날짜,거래량,잔고수량,거래대금,잔고금액
2025-07-01,107029,802797,30872012750,229198543500
2025-07-02,161918,642763,44914721250,179330877000
2025-07-03,40456,640409,11303128000,178353906500
2025-07-04,289747,760198,78753821500,205633559000
2025-07-07,25278,830248,6831433750,224997208000
2025-07-08,152719,828636,42873094250,233675352000
2025-07-09,105426,823227,29628495250,231326787000
2025-07-10,407958,741414,119455845750,220199958000
2025-07-11,272938,786409,81458043750,231597450500
2025-07-14,142468,792703,42607652000,237810900000
2025-07-15,583807,842973,171121314250,251627440500
2025-07-16,371156,1285768,109325013250,380587328000
2025-07-17,743904,1132891,204175277250,305314124500
2025-07-18,216576,1025346,58366394500,275818074000
2025-07-21,222203,1189014,60458747250,324006315000
2025-07-22,335628,1310532,90179936750,351877842000
2025-07-23,230019,1446341,61426006500,389065729000
2025-07-24,512490,1400738,140425950500,377498891000
2025-07-25,316362,1183789,85111655750,314887874000
2025-07-28,428730,1267207,112092030000,332008234000
2025-07-29,128920,1218669,33750326750,319900612500
2025-07-30,63936,1279220,16839299750,337074470000
2025-07-31,268034,1025729,72878268500,280536881500
2025-08-01,425854,1105477,110803788000,285213066000
2025-08-04,203767,1003767,52323500500,258971886000
2025-08-05,308787,957794,80955339500,252378719000
2025-08-06,114639,993847,29627648250,256909449500
2025-08-07,232928,950267,59857464000,248969954000
2025-08-08,264123,970164,68424458250,248847066000
2025-08-11,59925,811741,15913223000,216734847000
2025-08-12,288763,908075,78312696750,244272175000
2025-08-13,283416,788456,78578284750,219190768000
2025-08-14,281163,799694,76796647750,221115391000
2025-08-18,214261,838741,57527599500,224363217500
2025-08-19,111088,846013,29333317500,222501419000
2025-08-20,162881,811397,41413012750,207311933500
2025-08-21,702887,1060561,174120531000,259837445000
2025-08-22,149604,1063731,37396889000,266996481000
2025-08-25,466001,1430232,118830658750,371145204000
2025-08-26,51775,1436914,13399531250,375753011000
2025-08-27,72642,1439484,18768796000,374265840000
2025-08-28,157704,1455339,41511873500,390758521500
2025-08-29,113845,1505939,30506062000,405097591000
2025-09-01,118288,1624596,30431400250,415896576000
2025-09-02,99254,1708344,25828099000,445023612000
2025-09-03,157256,1737177,41367008250,456008962500
2025-09-04,94246,1949737,25104161500,517655173500
2025-09-05,99473,2096874,27223721000,573495039000
2025-09-08,57574,2086993,15950137750,578097061000
2025-09-09,107257,1924055,30602265500,554127840000
2025-09-10,178320,1768100,53598405000,537502400000
2025-09-11,234416,1665166,72655329750,511205962000
2025-09-12,152385,1498667,49534582000,492312109500
2025-09-15,116137,1501887,38953030500,497124597000
2025-09-16,291799,1511376,101355069000,525958848000
2025-09-17,135423,1639231,45621434000,546683538500
2025-09-18,172711,1661694,60883144000,586577982000
2025-09-19,86794,1836372,30604404750,648239316000
2025-09-22,448001,1818990,157728735000,638465490000
2025-09-23,86293,1892938,30964705000,683350618000
2025-09-24,42713,1406182,15137776500,502710065000
2025-09-25,77352,1349320,27443227750,481032580000
2025-09-26,115776,1377779,39414061250,463622633500
2025-09-29,34052,1361836,11896608000,475280764000
2025-09-30,63766,1354948,22298844250,470844430000
2025-10-01,76968,1392995,27474585250,501478200000
2025-10-02,407269,1424759,160532182750,563492184500
2025-10-10,416166,1668811,177285252000,714251108000
2025-10-13,230490,1670640,93750755750,693315600000
2025-10-14,266341,1702765,111867302500,700687797500
2025-10-15,128191,1817926,53435231750,768073735000
2025-10-16,205647,1841242,91333619750,833162005000
2025-10-17,267305,2016520,123954135000,938690060000
2025-10-20,214699,2105436,102582377500,1022189178000
2025-10-21,447247,2073929,219968152500,993411991000
2025-10-22,139340,2060794,65963201500,992272311000
2025-10-23,198348,1942461,94408931250,929467588500
2025-10-24,104294,1750569,52512107000,892790190000
2025-10-27,422158,1826702,223892550500,977285570000
2025-10-28,221688,1920460,114823163500,1000559660000
2025-10-29,294397,1772370,160608171500,988982460000
2025-10-30,221212,1949637,125469441000,1107393816000
2025-10-31,98654,1820008,55271727000,1017384472000
2025-11-03,286485,1782174,173449699500,1104947880000
2025-11-04,183238,1758469,109104297000,1030462834000
2025-11-05,241610,1679457,136537933000,972405603000
2025-11-06,150203,1729561,89405702000,1025629673000
2025-11-07,132452,1680813,77255821000,974871540000
2025-11-10,81756,1438796,49736971000,871910376000
2025-11-11,175879,1454443,110307098000,900300217000
2025-11-12,103834,991634,63507524000,611838178000
2025-11-13,97310,984339,59809561500,602415468000
2025-11-14,130694,1041006,75243388000,582963360000
2025-11-17,175970,1049892,105314628000,636234552000
2025-11-18,92895,1051785,53631796500,599517450000
2025-11-19,58186,1034108,32550727000,581168696000
2025-11-20,74315,1064987,43465556000,608107577000
2025-11-21,121003,819744,63306153000,427086624000
2025-11-24,76112,197446,40387273000,102671920000
2025-11-25,128727,130886,68202367000,67929834000
2025-11-26,104122,196027,53705594500,102718148000
2025-11-27,34449,197027,18783188000,107182688000
2025-11-28,25835,224715,13931564500,119098950000
2025-12-01,31813,224915,17093251500,121004270000
2025-12-02,28111,220655,15583844500,123125490000
2025-12-03,36124,220642,20024896500,121794384000
2025-12-04,53646,220642,28800486500,119587964000
2025-12-05,107959,217220,58193559500,118167680000
2025-12-08,63265,214948,35384314000,124024996000
2025-12-09,20201,214553,11482174500,121436998000
2025-12-10,50648,209945,29715804500,123237715000
2025-12-11,35775,206385,20719086000,116607525000
2025-12-12,12576,205554,7146097500,117371334000
2025-12-15,29508,201054,16261514500,111383916000
2025-12-16,6082,201054,3306002000,106558620000
2025-12-17,35940,201054,19199871500,110780754000
2025-12-18,53495,200064,29719581500,110435328000
2025-12-19,32890,199860,18533693000,109323420000
2025-12-22,10077,199860,5803064000,115918800000
2025-12-23,8467,199853,4959612500,116714152000
2025-12-24,2791,199853,1644454000,117513564000
2025-12-26,14949,204949,8956867000,122764451000
2025-12-29,140003,204949,88456323000,131167360000
2025-12-30,69775,204949,45089952500,133421799000
2026-01-02,68900,204949,45743354500,138750473000
2026-01-05,103339,204904,71650691500,142613184000
2026-01-06,53079,198003,36905157000,143750178000
2026-01-07,40426,191915,30240156500,142400930000
2026-01-08,127345,191560,98040623000,144819360000
2026-01-09,24188,191560,17979997500,142520640000
2026-01-12,14694,191993,10999592000,143802757000
2026-01-13,24447,191935,17970268500,141648030000
2026-01-14,83801,182173,61592858500,135172366000
2026-01-15,39621,178597,29216344000,133769153000
2026-01-16,71578,175158,53995752500,132419448000
2026-01-19,11909,175158,9049475000,133820712000
2026-01-20,15948,155111,11938229500,115247473000
2026-01-21,11496,143051,8566592500,105857740000
2026-01-22,46318,122796,35363594000,92710980000
2026-01-23,58755,109334,44266197000,83859178000
2026-01-26,40548,109196,30240904000,80368256000
2026-01-27,51315,109196,39308652000,87356800000
2026-01-28,49548,100340,40740421000,84385940000
2026-01-29,337182,96147,288026855816,82782567000
2026-01-30,58923,95764,53523841500,87049476000
2026-02-02,71707,95740,61086909500,79464200000
2026-02-03,54519,95739,48672818500,86835273000
2026-02-04,15453,95739,13864595000,86165100000
2026-02-05,48646,95739,41515440000,80612238000
2026-02-06,190934,95739,156664459500,80325021000
2026-02-09,59554,92798,52862583000,82311826000
2026-02-10,143788,91973,126875976500,80568348000
2026-02-11,61415,91973,53049355500,79096780000
2026-02-12,132961,88459,117692836500,78551592000
2026-02-13,156038,88459,138448757000,77843920000
2026-02-19,271496,88459,243201611500,79082346000
2026-02-20,67372,87171,63044549500,82725279000
2026-02-23,130855,87171,125838067500,82899621000
2026-02-24,31571,87171,30863146500,87606855000
2026-02-25,69910,68990,71069301500,70231820000
2026-02-26,56931,68985,59837230000,75814515000
2026-02-27,94067,68982,100122579000,73189902000
2026-03-03,145658,68979,143256060000,64771281000
2026-03-04,350451,68869,313824877500,58469781000
2026-03-05,315249,68044,301453352500,64029404000
2026-03-06,104111,68044,95200164000,62872656000
2026-03-09,301653,126903,250854036000,106090908000
2026-03-10,88864,67979,82434762500,63764302000
2026-03-11,79996,112603,76652480500,107535865000
2026-03-12,65612,278427,61556418500,258937110000
2026-03-13,156834,67876,142626857000,61767160000
2026-03-16,81894,67876,78196690500,66111224000
2026-03-17,84406,67600,84168560500,65572000000
2026-03-18,93346,67493,95754741000,71272608000
2026-03-19,293369,67493,298328400000,68370409000
2026-03-20,237698,67493,240439494500,67965451000
2026-03-23,189193,67493,178010432500,62970969000
2026-03-24,71278,67493,69720294000,66548098000
2026-03-25,261997,67156,263440229000,66820220000
2026-03-26,312429,67156,295783159631,62656548000
2026-03-27,291941,67156,264601844500,61917832000
2026-03-30,111897,67156,97444679000,58627188000
2026-03-31,115715,67156,95131299000,54194892000
2026-04-01,161570,67096,142088750000,59916728000
2026-04-02,439283,67034,372387820500,55638220000
2026-04-03,164583,67034,144244673500,58721784000
2026-04-06,107097,67034,94480671500,59392124000
2026-04-07,453712,67034,413662379000,61403144000
2026-04-08,211434,67034,215749096500,69246122000
2026-04-09,449579,67034,449532144000,66899932000
2026-04-10,62027,67034,63984452500,68843918000
2026-04-13,108834,67034,112180029500,69715360000
2026-04-14,70105,67034,77633512000,73938502000
2026-04-15,147782,66991,171508456000,76101776000
2026-04-16,47650,66823,54899464000,77180565000
2026-04-17,376722,204192,427940431576,230328576000
2026-04-20,198310,188139,228300969000,219370074000
2026-04-21,46701,559084,56540306500,684318816000
2026-04-22,66419,524879,80813430000,641927017000
2026-04-23,67130,489343,82333840500,599445175000
2026-04-24,65340,516211,79558326500,630809842000
2026-04-27,33090,520075,42753827000,671936900000
2026-04-28,119045,524717,155947547500,682132100000
2026-04-29,58450,63342,75823528000,81901206000
2026-04-30,10593,62607,13861593000,80512602000
2026-05-04,26989,49321,37693597500,71367487000
2026-05-06,339085,49321,538599990000,78962921000
2026-05-07,59002,49321,96205470500,81576934000
2026-05-08,30791,49291,50535924500,83104626000
2026-05-11,258035,49828,480864754000,93676640000
2026-05-12,102294,49210,194302745000,90300350000
2026-05-13,252616,48332,457397458500,95504032000
2026-05-14,265308,44196,523584667000,87066120000
2026-05-15,236473,44196,458982943500,80392524000
2026-05-18,52777,43942,95942872000,80853280000
2026-05-19,115484,87884,206071360000,153357580000
2026-05-20,118026,43942,205062732000,76678790000
2026-05-21,139424,43942,261294989500,85247480000
