날짜,거래량,잔고수량,거래대금,잔고금액
2026-05-22,61519,43942,119370759500,85291422000
2026-05-26,288463,37736,585970228540,77434272000
2026-05-27,166488,8114,375247557500,18199702000
2026-05-28,347833,800,763466067000,1831200000
2026-05-29,590992,1000,1378086290585,2333000000
2026-06-01,157060,1840,364176823000,4347920000
2026-06-02,241902,1800,563900058000,4248000000
2026-06-04,265857,1000,608547920000,2298000000
2026-06-05,311779,1000,661075547500,2070000000
2026-06-08,282740,1000,566644462000,1911000000
2026-06-09,401172,1000,856760938000,2215000000
2026-06-10,197384,1000,415884676500,2048000000
2026-06-11,247393,1000,510458957500,2101000000
2026-06-12,315010,2200,715800132000,4730000000
2026-06-15,160251,22800,367271669000,52166400000
2026-06-16,106043,8150,251321066000,19413300000
2026-06-17,64421,8150,157409904500,20546150000
2026-06-18,199138,8150,527328792000,21882750000
2026-06-19,310001,5741,853836874000,15868124000
2026-06-22,76693,5741,221970929500,16757979000
2026-06-23,430816,5741,1164403461500,14668255000
2026-06-24,561717,5741,1448769894000,14811780000
2026-06-25,220771,5741,620374260000,16746497000
2026-06-26,513204,5741,1394078804500,15345693000
2026-06-29,312614,53054,807138815000,139425912000
2026-06-30,134633,250744,356352072000,664471600000
2026-07-01,228838,218088,592219237000,558305280000
2026-07-02,193604,522465,453890712500,1142630955000
2026-07-03,58651,499825,133357635500,1212075625000
2026-07-06,109802,525750,263100258500,1231832250000
2026-07-07,232838,398312,501984995500,876684712000
2026-07-08,82207,87822,176628066000,182318472000
2026-07-09,64809,101104,141429259500,221013344000
2026-07-10,255280,56337,566330562000,122814660000
2026-07-13,329807,7341,650530434000,13544145000
2026-07-14,164623,30088,299487116500,57558344000
