날짜,공매도,매수,비중
2025-07-01,30872012750,1303582775678,2.37
2025-07-02,44914721250,1545461143560,2.91
2025-07-03,11303128000,1240066650830,0.91
2025-07-04,78753821500,1223139660250,6.44
2025-07-07,6831433750,840262778250,0.81
2025-07-08,42873094250,1138708228500,3.77
2025-07-09,29628495250,865512957940,3.42
2025-07-10,119455845750,1627869029500,7.34
2025-07-11,81458043750,1488640846704,5.47
2025-07-14,42607652000,1114252820000,3.82
2025-07-15,171121314250,1532872697312,11.16
2025-07-16,109325013250,1102022810250,9.92
2025-07-17,204175277250,3493727952964,5.84
2025-07-18,58366394500,1810102054250,3.22
2025-07-21,60458747250,924077727750,6.54
2025-07-22,90179936750,1039357431647,8.68
2025-07-23,61426006500,1006179363576,6.1
2025-07-24,140425950500,1388243049810,10.12
2025-07-25,85111655750,762598742000,11.16
2025-07-28,112092030000,1000318507000,11.21
2025-07-29,33750326750,969806954582,3.48
2025-07-30,16839299750,810057239750,2.08
2025-07-31,72878268500,1217325297500,5.99
2025-08-01,110803788000,1081960411674,10.24
2025-08-04,52323500500,711863145000,7.35
2025-08-05,80955339500,671398838250,12.06
2025-08-06,29627648250,440091249250,6.73
2025-08-07,59857464000,936367358000,6.39
2025-08-08,68424458250,887226409674,7.71
2025-08-11,15913223000,823077870605,1.93
2025-08-12,78312696750,1078356650030,7.26
2025-08-13,78578284750,1201682474250,6.54
2025-08-14,76796647750,726659739750,10.57
2025-08-18,57527599500,646538955824,8.9
2025-08-19,29333317500,550845941000,5.33
2025-08-20,41413012750,1078047770219,3.84
2025-08-21,174120531000,1847473419618,9.42
2025-08-22,37396889000,968017843000,3.86
2025-08-25,118830658750,995988881750,11.93
2025-08-26,13399531250,620602979500,2.16
2025-08-27,18768796000,818975242848,2.29
2025-08-28,41511873500,1247338088750,3.33
2025-08-29,30506062000,587525379765,5.19
2025-09-01,30431400250,631747270750,4.82
2025-09-02,25828099000,503233898000,5.13
2025-09-03,41367008250,735151241094,5.63
2025-09-04,25104161500,691277165000,3.63
2025-09-05,27223721000,1043376417546,2.61
2025-09-08,15950137750,669238726022,2.38
2025-09-09,30602265500,1488770635750,2.06
2025-09-10,53598405000,2063095778750,2.6
2025-09-11,72655329750,1986791860014,3.66
2025-09-12,49534582000,1894352124544,2.61
2025-09-15,38953030500,1820380505500,2.14
2025-09-16,101355069000,2693319023682,3.76
2025-09-17,45621434000,1883386102900,2.42
2025-09-18,60883144000,2201768944409,2.77
2025-09-19,30604404750,1949413378059,1.57
2025-09-22,157728735000,2054567134876,7.68
2025-09-23,30964705000,1568017966243,1.97
2025-09-24,15137776500,1883423765384,0.8
2025-09-25,27443227750,1006110214735,2.73
2025-09-26,39414061250,1700588417390,2.32
2025-09-29,11896608000,1094000371750,1.09
2025-09-30,22298844250,975302841890,2.29
2025-10-01,27474585250,1363247765250,2.02
2025-10-02,160532182750,3914758024470,4.1
2025-10-10,177285252000,3672957180268,4.83
2025-10-13,93750755750,2224623499500,4.21
2025-10-14,111867302500,2314446405500,4.83
2025-10-15,53435231750,1482806062050,3.6
2025-10-16,91333619750,2689351321750,3.4
2025-10-17,123954135000,2882886414500,4.3
2025-10-20,102582377500,2150636591750,4.77
2025-10-21,219968152500,2781519735900,7.91
2025-10-22,65963201500,2339017783797,2.82
2025-10-23,94408931250,2234924089759,4.22
2025-10-24,52512107000,3145008737770,1.67
2025-10-27,223892550500,2463753876965,9.09
2025-10-28,114823163500,3846744110500,2.98
2025-10-29,160608171500,4023342064000,3.99
2025-10-30,125469441000,4083835344496,3.07
2025-10-31,55271727000,2611842584996,2.12
2025-11-03,173449699500,5508058811300,3.15
2025-11-04,109104297000,5087297836816,2.14
2025-11-05,136537933000,7633432671489,1.79
2025-11-06,89405702000,4551724509783,1.96
2025-11-07,77255821000,4084753220500,1.89
2025-11-10,49736971000,4292511734500,1.16
2025-11-11,110307098000,5290730685586,2.08
2025-11-12,63507524000,2440632632264,2.6
2025-11-13,59809561500,3030830267500,1.97
2025-11-14,75243388000,4834756478600,1.56
2025-11-17,105314628000,3950653617596,2.67
2025-11-18,53631796500,3159367424000,1.7
2025-11-19,32550727000,3724221225699,0.87
2025-11-20,43465556000,4121780530500,1.05
2025-11-21,63306153000,4853523447308,1.3
2025-11-24,40387273000,4378229770500,0.92
2025-11-25,68202367000,2931162123048,2.33
2025-11-26,53705594500,3985932027780,1.35
2025-11-27,18783188000,3148373796000,0.6
2025-11-28,13931564500,2004534160834,0.7
2025-12-01,17093251500,2313805230500,0.74
2025-12-02,15583844500,2122087003622,0.73
2025-12-03,20024896500,2021810131396,0.99
2025-12-04,28800486500,2133247966065,1.35
2025-12-05,58193559500,2374532106500,2.45
2025-12-08,35384314000,3678388842000,0.96
2025-12-09,11482174500,1814099168500,0.63
2025-12-10,29715804500,3485524337500,0.85
2025-12-11,20719086000,2309503491500,0.9
2025-12-12,7146097500,1511828157000,0.47
2025-12-15,16261514500,1367827640645,1.19
2025-12-16,3306002000,1773669215746,0.19
2025-12-17,19199871500,1453712501090,1.32
2025-12-18,29719581500,1641945285000,1.81
2025-12-19,18533693000,1923946971000,0.96
2025-12-22,5803064000,1657807556000,0.35
2025-12-23,4959612500,1180522164000,0.42
2025-12-24,1644454000,1272669995000,0.13
2025-12-26,8956867000,2542663330000,0.35
2025-12-29,88456323000,3327308660500,2.66
2025-12-30,45089952500,3371634204140,1.34
2026-01-02,45743354500,3572613693500,1.28
2026-01-05,71650691500,3741047261792,1.92
2026-01-06,36905157000,4453323520374,0.83
2026-01-07,30240156500,5307414715000,0.57
2026-01-08,98040623000,6253986215972,1.57
2026-01-09,17979997500,4016753402448,0.45
2026-01-12,10999592000,3149516944500,0.35
2026-01-13,17970268500,3497521306500,0.51
2026-01-14,61592858500,4195345986132,1.47
2026-01-15,29216344000,2749203470800,1.06
2026-01-16,53995752500,3499966670608,1.54
2026-01-19,9049475000,3372138095500,0.27
2026-01-20,11938229500,2660055240500,0.45
2026-01-21,8566592500,4518273181116,0.19
2026-01-22,35363594000,3351244280844,1.06
2026-01-23,44266197000,3362939560816,1.32
2026-01-26,30240904000,2874505337336,1.05
2026-01-27,39308652000,5813520579000,0.68
2026-01-28,40740421000,6996561070181,0.58
2026-01-29,288026855816,7550306882316,3.81
2026-01-30,53523841500,9208806357842,0.58
2026-02-02,61086909500,8375735985532,0.73
2026-02-03,48672818500,5902424648767,0.82
2026-02-04,13864595000,4223891033731,0.33
2026-02-05,41515440000,5938924563500,0.7
2026-02-06,156664459500,5896187491360,2.66
2026-02-09,52862583000,4459570715000,1.19
2026-02-10,126875976500,3805986780990,3.33
2026-02-11,53049355500,3325165225000,1.6
2026-02-12,117692836500,4849307438341,2.43
2026-02-13,138448757000,4027114654416,3.44
2026-02-19,243201611500,4042348264000,6.02
2026-02-20,63044549500,7314298323000,0.86
2026-02-23,125838067500,4676519699000,2.69
2026-02-24,30863146500,5786184517812,0.53
2026-02-25,71069301500,4925303048787,1.44
2026-02-26,59837230000,6621290758704,0.9
2026-02-27,100122579000,8895464299420,1.13
2026-03-03,143256060000,9551895223097,1.5
2026-03-04,313824877500,11564104322000,2.71
2026-03-05,301453352500,8815338547000,3.42
2026-03-06,95200164000,4662820816084,2.04
2026-03-09,250854036000,7844724469840,3.2
2026-03-10,82434762500,6831991522500,1.21
2026-03-11,76652480500,5319350382746,1.44
2026-03-12,61556418500,4371261359288,1.41
2026-03-13,142626857000,4106675375625,3.47
2026-03-16,78196690500,5082559526020,1.54
2026-03-17,84168560500,4635977109400,1.82
2026-03-18,95754741000,6126954342315,1.56
2026-03-19,298328400000,4787209940500,6.23
2026-03-20,240439494500,4322522495172,5.56
2026-03-23,178010432500,5195419039915,3.43
2026-03-24,69720294000,5976238489994,1.17
2026-03-25,263440229000,6544372112500,4.03
2026-03-26,295783159631,6242973973791,4.74
2026-03-27,264601844500,5603226181100,4.72
2026-03-30,97444679000,5377660182600,1.81
2026-03-31,95131299000,7900374308420,1.2
2026-04-01,142088750000,6891885193115,2.06
2026-04-02,372387820500,7120143181600,5.23
2026-04-03,144244673500,3623880194500,3.98
2026-04-06,94480671500,3953737515000,2.39
2026-04-07,413662379000,4689274220000,8.82
2026-04-08,215749096500,9532070654500,2.26
2026-04-09,449532144000,6557689049304,6.86
2026-04-10,63984452500,4424944668000,1.45
2026-04-13,112180029500,4141307277500,2.71
2026-04-14,77633512000,8012315750416,0.97
2026-04-15,171508456000,6590943965500,2.6
2026-04-16,54899464000,4680751578205,1.17
2026-04-17,427940431576,5417725152695,7.9
2026-04-20,228300969000,6212151545197,3.68
2026-04-21,56540306500,6461712131691,0.88
2026-04-22,80813430000,5473749245500,1.48
2026-04-23,82333840500,10161925629635,0.81
2026-04-24,79558326500,5383257363697,1.48
2026-04-27,42753827000,9213826417400,0.46
2026-04-28,155947547500,5629688445424,2.77
2026-04-29,75823528000,5454999293712,1.39
2026-04-30,13861593000,5844522372494,0.24
2026-05-04,37693597500,12100081428750,0.31
2026-05-06,538599990000,13595137679470,3.96
2026-05-07,96205470500,12747216325280,0.75
2026-05-08,50535924500,9561757253272,0.53
2026-05-11,480864754000,19935651126000,2.41
2026-05-12,194302745000,23765963534500,0.82
2026-05-13,457397458500,19861723485412,2.3
2026-05-14,523584667000,15922602918612,3.29
2026-05-15,458982943500,20427810245000,2.25
2026-05-18,95942872000,16468829378060,0.58
2026-05-19,206071360000,11137622490663,1.85
2026-05-20,205062732000,13133736639509,1.56
2026-05-21,261294989500,14522689170500,1.8
2026-05-22,119370759500,8197144496170,1.46
2026-05-26,585970228540,14255282644810,4.11
2026-05-27,375247557500,24824948086523,1.51
2026-05-28,763466067000,19805353493996,3.85
2026-05-29,1378086290585,24157201492414,5.7
2026-06-01,364176823000,18481676716000,1.97
2026-06-02,563900058000,18008891513233,3.13
2026-06-04,608547920000,11017048952155,5.52
2026-06-05,661075547500,16255255668200,4.07
2026-06-08,566644462000,18248521839500,3.11
2026-06-09,856760938000,17082708823075,5.02
2026-06-10,415884676500,13867813555784,3.0
2026-06-11,510458957500,17875379360120,2.86
2026-06-12,715800132000,15534077651336,4.61
2026-06-15,367271669000,11782168416425,3.12
2026-06-16,251321066000,12053554228084,2.09
2026-06-17,157409904500,15090158376358,1.04
2026-06-18,527328792000,21685562109100,2.43
2026-06-19,853836874000,29487726194628,2.9
2026-06-22,221970929500,21407838474200,1.04
2026-06-23,1164403461500,31821851600990,3.66
2026-06-24,1448769894000,27005448763696,5.36
2026-06-25,620374260000,27295803525000,2.27
2026-06-26,1394078804500,27630756924408,5.05
2026-06-29,807138815000,17703294913000,4.56
2026-06-30,356352072000,17554222274000,2.03
2026-07-01,592219237000,15067114843000,3.93
2026-07-02,453890712500,23725434160843,1.91
2026-07-03,133357635500,25577337060000,0.52
2026-07-06,263100258500,13507776755882,1.95
2026-07-07,501984995500,19205173887500,2.61
2026-07-08,176628066000,21467203557778,0.82
2026-07-09,141429259500,18897274445000,0.75
2026-07-10,566330562000,14863103504000,3.81
2026-07-13,650530434000,22991741420720,2.83
2026-07-14,299487116500,27721169358043,1.08
2026-07-15,228225177500,17807843910500,1.28
2026-07-16,318279848500,14091419738642,2.26
