날짜,공매도잔고,상장주식수,공매도금액,시가총액,비중
2025-07-01,1362615,5919637922,82029423000,356362202904400.0,0.02
2025-07-02,1373906,5919637922,83533484800,359913985657600.0,0.02
2025-07-03,913489,5919637922,58280598200,377672899423600.0,0.02
2025-07-04,1194919,5919637922,75638372700,374713080462600.0,0.02
2025-07-07,1130381,5919637922,69744507700,365241659787400.0,0.02
2025-07-08,1000610,5919637922,61437454000,363465768410800.0,0.02
2025-07-09,1126902,5919637922,68064880800,357546130488800.0,0.02
2025-07-10,959243,5919637922,58513823000,361097913242000.0,0.02
2025-07-11,859623,5919637922,53812399800,370569333917200.0,0.01
2025-07-14,862923,5919637922,53932687500,369977370125000.0,0.01
2025-07-15,917698,5919637922,58457362600,377080935631400.0,0.02
2025-07-16,983102,5919637922,63606699400,383000573553400.0,0.02
2025-07-17,972632,5919637922,64874554400,394839849397400.0,0.02
2025-07-18,885888,5919637922,59443084800,397207704566200.0,0.01
2025-07-21,983269,5919637922,66665638200,401351451111600.0,0.02
2025-07-22,1046245,5919637922,69052170000,390696102852000.0,0.02
2025-07-23,1324850,5919637922,87970040000,393063958020800.0,0.02
2025-07-24,1352750,5919637922,89281500000,390696102852000.0,0.02
2025-07-25,1324331,5919637922,87273412900,390104139059800.0,0.02
2025-07-28,1475282,5919637922,103859852800,416742509708800.0,0.02
2025-07-29,1408773,5919637922,99459373800,417926437293200.0,0.02
2025-07-30,1474320,5919637922,107035632000,429765713137200.0,0.02
2025-07-31,1485445,5919637922,106060773000,422662147630800.0,0.03
2025-08-01,1637036,5919637922,112791780400,407863052825800.0,0.03
2025-08-04,1718250,5919637922,119762025000,412598763163400.0,0.03
2025-08-05,1689662,5919637922,118107373800,413782690747800.0,0.03
2025-08-06,1751823,5919637922,120525422400,407271089033600.0,0.03
2025-08-07,1459000,5919637922,102859500000,417334473501000.0,0.02
2025-08-08,1387935,5919637922,99653733000,425030002799600.0,0.02
2025-08-11,1386651,5919637922,98452221000,420294292462000.0,0.02
2025-08-12,1523033,5919637922,108287646300,420886256254200.0,0.03
2025-08-13,1422216,5919637922,102257330400,425621966591800.0,0.02
2025-08-14,1471734,5919637922,105376154400,423846075215200.0,0.02
2025-08-18,1594564,5919637922,111619480000,414374654540000.0,0.03
2025-08-19,1598287,5919637922,111880090000,414374654540000.0,0.03
2025-08-20,1491048,5919637922,105118884000,417334473501000.0,0.03
2025-08-21,1489828,5919637922,105181856800,417926437293200.0,0.03
2025-08-22,1484828,5919637922,106016719200,422662147630800.0,0.03
2025-08-25,1648260,5919637922,117850590000,423254111423000.0,0.03
2025-08-26,1683633,5919637922,118359399900,416150545916600.0,0.03
2025-08-27,1772598,5919637922,125145418800,417926437293200.0,0.03
2025-08-28,1794149,5919637922,124872770400,412006799371200.0,0.03
2025-08-29,1910333,5919637922,133150210100,412598763163400.0,0.03
2025-09-01,1913298,5919637922,129338944800,400167523527200.0,0.03
2025-09-02,1909493,5919637922,131945966300,409046980410200.0,0.03
2025-09-03,1645589,5919637922,114862112200,413190726955600.0,0.03
2025-09-04,1616741,5919637922,113333544100,414966618332200.0,0.03
2025-09-05,1615970,5919637922,112309915000,411414835579000.0,0.03
2025-09-08,1475315,5919637922,103419581500,414966618332200.0,0.02
2025-09-09,1505612,5919637922,107651258000,423254111423000.0,0.03
2025-09-10,2060817,5919637922,149615314200,429765713137200.0,0.03
2025-09-11,2351291,5919637922,172584759400,434501423474800.0,0.04
2025-09-12,2300391,5919637922,173449481400,446340699318800.0,0.04
2025-09-15,2297915,5919637922,175790497500,452852301033000.0,0.04
2025-09-16,2191546,5919637922,174008752400,470019251006800.0,0.04
2025-09-17,2131316,5919637922,166668911200,462915685500400.0,0.04
2025-09-18,2130424,5919637922,171499132000,476530852721000.0,0.04
2025-09-19,2085085,5919637922,166181274500,471795142383400.0,0.04
2025-09-22,2116851,5919637922,176757058500,494289766487000.0,0.04
2025-09-23,2116465,5919637922,179264585500,501393331993400.0,0.04
2025-09-24,976801,5919637922,83418805400,505537078538800.0,0.02
2025-09-25,981342,5919637922,84493546200,509680825084200.0,0.02
2025-09-26,1552803,5919637922,129348489900,493105838902600.0,0.03
2025-09-29,1463492,5919637922,123226026400,498433513032400.0,0.02
2025-09-30,1373321,5919637922,115221631900,496657621655800.0,0.02
2025-10-01,1604714,5919637922,138005404000,509088861292000.0,0.03
2025-10-02,2727821,5919637922,242776069000,526847775058000.0,0.05
2025-10-10,2727821,5919637922,257506302400,558813819836800.0,0.05
2025-10-13,1680355,5919637922,156777121500,552302218122600.0,0.03
2025-10-14,1728405,5919637922,158321898000,542238833655200.0,0.03
2025-10-15,1719055,5919637922,163310225000,562365602590000.0,0.03
2025-10-16,1810736,5919637922,176908907200,578348624979400.0,0.03
2025-10-17,1807506,5919637922,176954837400,579532552563800.0,0.03
