날짜,공매도,매수,비중
2025-07-01,107029,4502135,2.38
2025-07-02,161918,5558983,2.91
2025-07-03,40456,4435415,0.91
2025-07-04,289747,4480177,6.47
2025-07-07,25278,3132375,0.81
2025-07-08,152719,4071225,3.75
2025-07-09,105426,3082567,3.42
2025-07-10,407958,5592957,7.29
2025-07-11,272938,4989359,5.47
2025-07-14,142468,3727225,3.82
2025-07-15,583807,5225934,11.17
2025-07-16,371156,3736803,9.93
2025-07-17,743904,12741103,5.84
2025-07-18,216576,6715857,3.22
2025-07-21,222203,3398558,6.54
2025-07-22,335628,3865156,8.68
2025-07-23,230019,3754276,6.13
2025-07-24,512490,5060210,10.13
2025-07-25,316362,2830407,11.18
2025-07-28,428730,3824131,11.21
2025-07-29,128920,3721138,3.46
2025-07-30,63936,3076035,2.08
2025-07-31,268034,4482674,5.98
2025-08-01,425854,4158090,10.24
2025-08-04,203767,2768361,7.36
2025-08-05,308787,2556110,12.08
2025-08-06,114639,1701401,6.74
2025-08-07,232928,3633436,6.41
2025-08-08,264123,3400909,7.77
2025-08-11,59925,3108104,1.93
2025-08-12,288763,3966430,7.28
2025-08-13,283416,4339909,6.53
2025-08-14,281163,2653289,10.6
2025-08-18,214261,2406615,8.9
2025-08-19,111088,2078745,5.34
2025-08-20,162881,4238818,3.84
2025-08-21,702887,7475020,9.4
2025-08-22,149604,3885330,3.85
2025-08-25,466001,3857732,12.08
2025-08-26,51775,2388910,2.17
2025-08-27,72642,3169952,2.29
2025-08-28,157704,4731179,3.33
2025-08-29,113845,2191641,5.19
2025-09-01,118288,2454926,4.82
2025-09-02,99254,1936505,5.13
2025-09-03,157256,2798721,5.62
2025-09-04,94246,2589481,3.64
2025-09-05,99473,3811103,2.61
2025-09-08,57574,2415819,2.38
2025-09-09,107257,5233582,2.05
2025-09-10,178320,6863443,2.6
2025-09-11,234416,6418312,3.65
2025-09-12,152385,5819166,2.62
2025-09-15,116137,5474093,2.12
2025-09-16,291799,7785940,3.75
2025-09-17,135423,5587734,2.42
2025-09-18,172711,6293155,2.74
2025-09-19,86794,5528445,1.57
2025-09-22,448001,5832059,7.68
2025-09-23,86293,4380197,1.97
2025-09-24,42713,5293701,0.81
2025-09-25,77352,2835892,2.73
2025-09-26,115776,5000328,2.32
2025-09-29,34052,3151008,1.08
2025-09-30,63766,2785589,2.29
2025-10-01,76968,3813131,2.02
2025-10-02,407269,9875124,4.12
