날짜,공매도,매수,비중
2025-10-10,416166,8621666,4.83
2025-10-13,230490,5423372,4.25
2025-10-14,266341,5501766,4.84
2025-10-15,128191,3571847,3.59
2025-10-16,205647,6071208,3.39
2025-10-17,267305,6224162,4.29
2025-10-20,214699,4504772,4.77
2025-10-21,447247,5668179,7.89
2025-10-22,139340,4925995,2.83
2025-10-23,198348,4665064,4.25
2025-10-24,104294,6234945,1.67
2025-10-27,422158,4644062,9.09
2025-10-28,221688,7423471,2.99
2025-10-29,294397,7392237,3.98
2025-10-30,221212,7219293,3.06
2025-10-31,98654,4662401,2.12
2025-11-03,286485,9181972,3.12
2025-11-04,183238,8550353,2.14
2025-11-05,241610,13594390,1.78
2025-11-06,150203,7628549,1.97
2025-11-07,132452,7025334,1.89
2025-11-10,81756,7115491,1.15
2025-11-11,175879,8453897,2.08
2025-11-12,103834,3989826,2.6
2025-11-13,97310,4935239,1.97
2025-11-14,130694,8431039,1.55
2025-11-17,175970,6634624,2.65
2025-11-18,92895,5472425,1.7
2025-11-19,58186,6658864,0.87
2025-11-20,74315,7065383,1.05
2025-11-21,121003,9289041,1.3
2025-11-24,76112,8294204,0.92
2025-11-25,128727,5531329,2.33
2025-11-26,104122,7736592,1.35
2025-11-27,34449,5786206,0.6
2025-11-28,25835,3738677,0.69
2025-12-01,31813,4301781,0.74
2025-12-02,28111,3826682,0.73
2025-12-03,36124,3657667,0.99
2025-12-04,53646,3972078,1.35
2025-12-05,107959,4426639,2.44
2025-12-08,63265,6614465,0.96
2025-12-09,20201,3198831,0.63
2025-12-10,50648,5949127,0.85
2025-12-11,35775,4021907,0.89
2025-12-12,12576,2646148,0.48
2025-12-15,29508,2482125,1.19
2025-12-16,6082,3287998,0.18
2025-12-17,35940,2692626,1.33
2025-12-18,53495,2959059,1.81
2025-12-19,32890,3440005,0.96
2025-12-22,10077,2878464,0.35
2025-12-23,8467,2011188,0.42
2025-12-24,2791,2160697,0.13
2025-12-26,14949,4243548,0.35
2025-12-29,140003,5260202,2.66
2025-12-30,69775,5185819,1.35
2026-01-02,68900,5375488,1.28
2026-01-05,103339,5395078,1.92
2026-01-06,53079,6360007,0.83
2026-01-07,40426,7103788,0.57
2026-01-08,127345,8159270,1.56
2026-01-09,24188,5410405,0.45
2026-01-12,14694,4196035,0.35
2026-01-13,24447,4739731,0.52
2026-01-14,83801,5673819,1.48
2026-01-15,39621,3717170,1.07
2026-01-16,71578,4639665,1.54
2026-01-19,11909,4417688,0.27
2026-01-20,15948,3556290,0.45
2026-01-21,11496,6080922,0.19
2026-01-22,46318,4400431,1.05
2026-01-23,58755,4442993,1.32
2026-01-26,40548,3856499,1.05
2026-01-27,51315,7505805,0.68
2026-01-28,49548,8407608,0.59
2026-01-29,337182,8825822,3.82
2026-01-30,58923,10159668,0.58
2026-02-02,71707,9762331,0.73
2026-02-03,54519,6609017,0.82
2026-02-04,15453,4720949,0.33
2026-02-05,48646,6950125,0.7
2026-02-06,190934,7189435,2.66
2026-02-09,59554,5035050,1.18
2026-02-10,143788,4281143,3.36
2026-02-11,61415,3852186,1.59
2026-02-12,132961,5467618,2.43
2026-02-13,156038,4527170,3.45
2026-02-19,271496,4509691,6.02
2026-02-20,67372,7905478,0.85
2026-02-23,130855,4873493,2.69
2026-02-24,31571,5863588,0.54
2026-02-25,69910,4826655,1.45
2026-02-26,56931,6296800,0.9
2026-02-27,94067,8324455,1.13
2026-03-03,145658,9612168,1.52
2026-03-04,350451,12953361,2.71
2026-03-05,315249,9162667,3.44
2026-03-06,104111,5102740,2.04
2026-03-09,301653,9442784,3.19
2026-03-10,88864,7358345,1.21
2026-03-11,79996,5516706,1.45
2026-03-12,65612,4661445,1.41
2026-03-13,156834,4527119,3.46
2026-03-16,81894,5367535,1.53
2026-03-17,84406,4673142,1.81
2026-03-18,93346,5991649,1.56
2026-03-19,293369,4706063,6.23
2026-03-20,237698,4272551,5.56
2026-03-23,189193,5517327,3.43
2026-03-24,71278,6139534,1.16
2026-03-25,261997,6442856,4.07
2026-03-26,312429,6591156,4.74
2026-03-27,291941,6198565,4.71
2026-03-30,111897,6159752,1.82
2026-03-31,115715,9610931,1.2
2026-04-01,161570,7832786,2.06
2026-04-02,439283,8295281,5.3
2026-04-03,164583,4135395,3.98
2026-04-06,107097,4466926,2.4
2026-04-07,453712,5148889,8.81
2026-04-08,211434,9350567,2.26
2026-04-09,449579,6531627,6.88
2026-04-10,62027,4289475,1.45
2026-04-13,108834,4029629,2.7
2026-04-14,70105,7229009,0.97
2026-04-15,147782,5701781,2.59
2026-04-16,47650,4074611,1.17
2026-04-17,376722,4763009,7.91
2026-04-20,198310,5344778,3.71
2026-04-21,46701,5316411,0.88
2026-04-22,66419,4505610,1.47
2026-04-23,67130,8280553,0.81
2026-04-24,65340,4415565,1.48
2026-04-27,33090,7147552,0.46
2026-04-28,119045,4293910,2.77
2026-04-29,58450,4205908,1.39
2026-04-30,10593,4482091,0.24
2026-05-04,26989,8637159,0.31
2026-05-06,339085,8540981,3.97
2026-05-07,59002,7884335,0.75
2026-05-08,30791,5813831,0.53
2026-05-11,258035,10575905,2.44
2026-05-12,102294,12613306,0.81
2026-05-13,252616,10444218,2.42
2026-05-14,265308,8100659,3.28
2026-05-15,236473,10826436,2.18
2026-05-18,52777,9077069,0.58
2026-05-19,115484,6285341,1.84
2026-05-20,118026,7556686,1.56
2026-05-21,139424,7636669,1.83
2026-05-22,61519,4231337,1.45
2026-05-26,288463,6930523,4.16
2026-05-27,166488,10907183,1.53
2026-05-28,347833,8884095,3.92
2026-05-29,590992,10360019,5.7
2026-06-01,157060,7853338,2.0
2026-06-02,241902,7741138,3.12
2026-06-04,265857,4805015,5.53
2026-06-05,311779,7685758,4.06
2026-06-08,282740,9257006,3.05
2026-06-09,401172,8081028,4.96
2026-06-10,197384,6672222,2.96
2026-06-11,247393,8605300,2.87
2026-06-12,315010,6923372,4.55
2026-06-15,160251,5134675,3.12
2026-06-16,106043,5106616,2.08
2026-06-17,64421,6162871,1.05
2026-06-18,199138,8182651,2.43
2026-06-19,310001,10585073,2.93
2026-06-22,76693,7438962,1.03
2026-06-23,430816,11655864,3.7
2026-06-24,561717,10429669,5.39
2026-06-25,220771,9500008,2.32
2026-06-26,513204,10182550,5.04
2026-06-29,312614,6821967,4.58
2026-06-30,134633,6628219,2.03
2026-07-01,228838,5817099,3.93
2026-07-02,193604,10235405,1.89
2026-07-03,58651,11311277,0.52
2026-07-06,109802,5661124,1.94
2026-07-07,232838,8759371,2.66
2026-07-08,82207,9795192,0.84
2026-07-09,64809,8627828,0.75
2026-07-10,255280,6683585,3.82
2026-07-13,329807,11779266,2.8
2026-07-14,164623,15173864,1.08
2026-07-15,108167,8414852,1.29
2026-07-16,171665,7584722,2.26
